~id,~label,name:String,email:String,phone:String,age:Int,location:String,occupation:String,risk_score:Double,signup_date:Date
U0001,user,Samantha Fields,samantha.fields@spencer.com,+1-414-720-1695,64,Memphis,Engineer,7.5,2025-01-02T13:54:15Z
U0002,user,Kenneth Stewart,kenneth.stewart@gray.com,+1-348-428-8126,66,Raleigh,Nurse,6.9,2024-03-23T13:54:15Z
U0003,user,Adam Carter,adam.carter@weaver.com,+1-824-867-7924,53,Charlotte,Plumber,92.2,2025-03-03T13:54:15Z
U0004,user,Barry Miller,barry.miller@douglas.com,+1-370-351-4520,52,Fort Worth,Web Developer,87.5,2025-06-24T13:54:15Z
U0005,user,Alexis Carter,alexis.carter@ray.org,+1-262-903-2641,67,Seattle,Doctor,59.1,2025-07-05T13:54:15Z
U0006,user,Mario Hoover,mario.hoover@chandler.com,+1-553-417-4123,21,Los Angeles,Construction Manager,34.4,2023-10-22T13:54:15Z
U0007,user,Joshua West,joshua.west@archer-price.biz,+1-643-347-6142,29,Philadelphia,Lawyer,44.4,2024-06-01T13:54:15Z
U0008,user,Mark Guerra,mark.guerra@mills.com,+1-620-652-8522,40,Portland,Doctor,46.5,2024-10-10T13:54:15Z
U0009,user,Priscilla Decker,priscilla.decker@holland.org,+1-372-584-4105,25,Houston,Mechanic,42.3,2025-04-20T13:54:15Z
U0010,user,Julie Robinson,julie.robinson@mitchell-caldwell.com,+1-773-805-9121,25,San Jose,Construction Manager,80.4,2024-07-19T13:54:15Z
U0011,user,Brett Gonzalez,brett.gonzalez@martin.com,+1-875-667-7427,24,Atlanta,Real Estate Agent,2.2,2024-12-06T13:54:15Z
U0012,user,Shelia Fuentes,shelia.fuentes@smith.net,+1-204-756-5633,48,Seattle,Chef,76.0,2024-10-19T13:54:15Z
U0013,user,Aaron Martinez,aaron.martinez@hansen-pierce.com,+1-738-790-9957,64,Indianapolis,Sales Representative,83.9,2024-08-22T13:54:15Z
U0014,user,Roger Garcia,roger.garcia@hicks-brown.info,+1-764-684-3314,34,Los Angeles,Web Developer,89.1,2024-09-05T13:54:15Z
U0015,user,Jennifer Chavez,jennifer.chavez@watkins.net,+1-510-260-4302,28,Detroit,Financial Analyst,28.4,2023-10-29T13:54:15Z
U0016,user,Brandy Johnson,brandy.johnson@brown.net,+1-599-384-1033,33,Austin,Doctor,21.1,2024-06-05T13:54:15Z
U0017,user,Wendy Flores,wendy.flores@nelson-howard.org,+1-459-207-8621,26,Chicago,Mechanic,33.8,2024-09-20T13:54:15Z
U0018,user,Charlene Frazier,charlene.frazier@clark.biz,+1-236-305-1138,20,Raleigh,Police Officer,5.3,2024-03-02T13:54:15Z
U0019,user,Joseph Rodriguez,joseph.rodriguez@jackson.com,+1-826-887-9094,35,New York,Mechanic,93.7,2025-08-05T13:54:15Z
U0020,user,Glenn Gilmore,glenn.gilmore@lopez.com,+1-633-740-5806,47,San Antonio,Engineer,48.1,2024-05-07T13:54:15Z
U0021,user,Jennifer Gould,jennifer.gould@cox.com,+1-688-708-5663,63,Raleigh,Dentist,43.9,2025-06-12T13:54:15Z
U0022,user,Ralph Kelly,ralph.kelly@turner.net,+1-691-577-2832,18,Kansas City,Construction Manager,38.7,2024-07-16T13:54:15Z
U0023,user,Victoria Morris,victoria.morris@barnes.com,+1-839-535-4211,34,Columbus,Consultant,93.8,2025-03-14T13:54:15Z
U0024,user,Rose Diaz,rose.diaz@gill.com,+1-719-490-7229,18,Philadelphia,Doctor,47.5,2023-10-24T13:54:15Z
U0025,user,Jeffrey Barry,jeffrey.barry@stephens.com,+1-579-736-2456,58,San Antonio,Chef,39.7,2024-06-12T13:54:15Z
U0026,user,Jeffrey Fitzgerald,jeffrey.fitzgerald@kaiser-banks.com,+1-639-883-1770,47,Baltimore,Graphic Designer,92.3,2023-11-07T13:54:15Z
U0027,user,Nicole Mathis,nicole.mathis@smith.com,+1-883-489-8792,67,Detroit,Electrician,70.8,2025-02-11T13:54:15Z
U0028,user,Shannon Walker MD,shannon.walker.md@brown.biz,+1-911-326-2224,45,Dallas,Data Scientist,63.7,2023-12-18T13:54:15Z
U0029,user,Thomas Evans,thomas.evans@yoder.com,+1-995-342-1170,70,Baltimore,Sales Representative,79.6,2025-06-29T13:54:15Z
U0030,user,Laura Sanchez,laura.sanchez@mata.com,+1-433-367-4243,36,Seattle,Electrician,46.5,2025-03-18T13:54:15Z
U0031,user,Gerald Stewart,gerald.stewart@sharp-castaneda.com,+1-519-759-4571,61,Los Angeles,Financial Analyst,20.2,2023-12-22T13:54:15Z
U0032,user,Joseph Smith,joseph.smith@harris.com,+1-294-302-1203,27,Denver,Graphic Designer,82.6,2025-06-05T13:54:15Z
U0033,user,James Ortega,james.ortega@powers.net,+1-707-932-5067,58,Dallas,Project Manager,91.2,2025-01-14T13:54:15Z
U0034,user,Jamie Walls,jamie.walls@king.com,+1-763-448-4073,28,Baltimore,Lawyer,47.5,2024-07-02T13:54:15Z
U0035,user,Allison Cohen,allison.cohen@curtis-ramirez.net,+1-807-824-1068,39,Colorado Springs,Marketing Manager,56.7,2023-11-21T13:54:15Z
U0036,user,Nicole Neal,nicole.neal@rose-duncan.com,+1-460-566-3996,34,Boston,Graphic Designer,40.7,2023-09-20T13:54:15Z
U0037,user,Rebecca Moore,rebecca.moore@armstrong.com,+1-830-987-7770,48,San Diego,Plumber,9.6,2023-12-29T13:54:15Z
U0038,user,Mia Taylor,mia.taylor@smith.biz,+1-940-414-4879,44,Kansas City,Web Developer,81.3,2024-08-17T13:54:15Z
U0039,user,David Riley,david.riley@davis.com,+1-771-831-8489,66,Columbus,Real Estate Agent,35.9,2025-07-10T13:54:15Z
U0040,user,Ryan Salazar,ryan.salazar@ryan-moreno.com,+1-227-933-8722,65,Jacksonville,Marketing Manager,76.8,2024-03-05T13:54:15Z
U0041,user,Ralph Williams,ralph.williams@reed.com,+1-646-735-9409,18,San Antonio,Teacher,40.9,2023-10-04T13:54:15Z
U0042,user,Thomas Wagner,thomas.wagner@wells-nguyen.com,+1-895-528-2757,45,Atlanta,HR Specialist,78.3,2024-02-11T13:54:15Z
U0043,user,Alexa Riggs,alexa.riggs@li.info,+1-487-291-6271,28,New York,Police Officer,51.1,2025-03-26T13:54:15Z
U0044,user,Ronald Gordon,ronald.gordon@kim.com,+1-601-809-8083,24,New York,Mechanic,32.2,2023-11-29T13:54:15Z
U0045,user,Jason Jefferson,jason.jefferson@solomon-edwards.com,+1-908-357-1071,38,Seattle,Chef,21.7,2024-10-13T13:54:15Z
U0046,user,Christine Gonzales,christine.gonzales@jennings.net,+1-515-887-2642,45,Dallas,Accountant,1.1,2024-12-01T13:54:15Z
U0047,user,Alejandro Jackson,alejandro.jackson@stephens-thompson.org,+1-440-535-9916,50,Indianapolis,Graphic Designer,34.5,2024-02-03T13:54:15Z
U0048,user,Margaret Foster,margaret.foster@lewis.com,+1-802-230-4457,25,San Antonio,Nurse,36.0,2024-02-17T13:54:15Z
U0049,user,Julian Hughes,julian.hughes@harrison.biz,+1-979-962-5909,58,Indianapolis,Graphic Designer,86.1,2023-12-10T13:54:15Z
U0050,user,Brittany Hammond,brittany.hammond@duffy.biz,+1-655-557-2516,27,Indianapolis,Financial Analyst,64.5,2024-05-30T13:54:15Z
U0051,user,Anthony Bryan,anthony.bryan@patton-contreras.com,+1-595-588-9599,70,Kansas City,Software Engineer,58.6,2024-01-05T13:54:15Z
U0052,user,Lynn Hamilton,lynn.hamilton@king.com,+1-674-630-6975,30,Memphis,Chef,78.8,2025-03-24T13:54:15Z
U0053,user,Melanie Perez,melanie.perez@brown.com,+1-713-736-2051,31,Portland,Accountant,81.7,2023-10-04T13:54:15Z
U0054,user,David Bennett,david.bennett@rollins.net,+1-795-472-2132,55,San Diego,Project Manager,93.1,2024-02-24T13:54:15Z
U0055,user,Russell Torres,russell.torres@christensen-ferguson.com,+1-747-682-4772,39,Dallas,Web Developer,56.4,2025-06-23T13:54:15Z
U0056,user,Thomas Castaneda,thomas.castaneda@hernandez-jacobson.com,+1-614-830-2540,64,Houston,Real Estate Agent,10.5,2024-04-04T13:54:15Z
U0057,user,Ryan Schultz,ryan.schultz@collins.biz,+1-987-984-7232,26,Milwaukee,Marketing Manager,25.1,2024-11-22T13:54:15Z
U0058,user,Nancy Tyler,nancy.tyler@cline.com,+1-581-641-7025,21,Dallas,Teacher,82.4,2024-04-14T13:54:15Z
U0059,user,Alan Garcia,alan.garcia@salazar-rogers.net,+1-296-289-3902,38,Memphis,Real Estate Agent,23.6,2024-02-15T13:54:15Z
U0060,user,Lori Stout,lori.stout@james.com,+1-817-347-5327,55,Phoenix,HR Specialist,68.7,2024-07-26T13:54:15Z
U0061,user,Alexander Price,alexander.price@gardner-roberts.info,+1-562-674-7654,37,Austin,Mechanic,64.9,2025-02-19T13:54:15Z
U0062,user,Connie Carey,connie.carey@jordan.com,+1-776-765-8006,67,Nashville,Construction Manager,33.7,2025-08-11T13:54:15Z
U0063,user,Denise Prince,denise.prince@armstrong.com,+1-770-935-9634,26,Austin,Doctor,78.3,2025-01-20T13:54:15Z
U0064,user,Robert May,robert.may@mcdaniel.org,+1-674-597-8384,26,Austin,Project Manager,34.6,2024-03-10T13:54:15Z
U0065,user,Allison Sanchez,allison.sanchez@johnson.com,+1-935-303-1013,33,San Jose,Graphic Designer,89.5,2025-05-19T13:54:15Z
U0066,user,Jessica Davis,jessica.davis@morgan.com,+1-307-531-5138,27,Memphis,Electrician,75.5,2025-08-05T13:54:15Z
U0067,user,Mr. Jesse Hodges MD,mr..jesse.hodges.md@patrick.net,+1-205-326-5998,21,Portland,Mechanic,68.1,2024-09-13T13:54:15Z
U0068,user,Eileen Chang,eileen.chang@moore.net,+1-737-921-5140,31,San Francisco,Teacher,98.9,2024-09-05T13:54:15Z
U0069,user,Stephanie Jones,stephanie.jones@white.com,+1-711-448-9900,43,Columbus,Architect,72.4,2024-09-15T13:54:15Z
U0070,user,Ryan Salas,ryan.salas@smith.org,+1-588-673-3943,50,Houston,Plumber,64.5,2024-09-16T13:54:15Z
