~id,~label,name:String,email:String,phone:String,age:Int,location:String,occupation:String,risk_score:Double,signup_date:Date
U0000001,user,Jhalak Parmer,jhalak.parmer@rao.com,+91-97397-12587,21,Pune,Real Estate Agent,44.4,2025-05-06T22:16:49Z
U0000002,user,Simon Bail,simon.bail@nath.com,+91-76805-73001,39,Visakhapatnam,Software Engineer,1.3,2025-06-10T22:16:49Z
U0000003,user,Viraj Narasimhan,viraj.narasimhan@agate.com,+91-75465-24818,26,Hyderabad,Nurse,10.4,2024-01-14T22:16:49Z
U0000004,user,Owen Choudhary,owen.choudhary@bal.com,+91-98453-98857,51,Bhopal,Engineer,87.3,2024-03-27T22:16:49Z
U0000005,user,Alka Ben,alka.ben@sama.com,+91-72583-70174,46,Varanasi,Accountant,85.7,2024-06-09T22:16:49Z
U0000006,user,Siya Thakur,siya.thakur@bassi.net,+91-81637-93055,69,Vadodara,Bank Manager,52.2,2023-09-22T22:16:49Z
U0000007,user,Darsh Srinivas,darsh.srinivas@sandhu-chokshi.info,+91-89310-76086,26,Jodhpur,Software Engineer,53.0,2025-07-22T22:16:49Z
U0000008,user,Ethan Buch,ethan.buch@divan-bhatti.com,+91-94981-42537,35,Rajkot,Graphic Designer,97.0,2024-06-03T22:16:49Z
U0000009,user,Sudiksha Tiwari,sudiksha.tiwari@sani.net,+91-84830-23432,57,Bhopal,Business Owner,64.7,2024-08-07T22:16:49Z
U0000010,user,Vedant Sachdev,vedant.sachdev@setty-rastogi.biz,+91-89280-81645,65,Indore,Professor,72.5,2025-02-23T22:16:49Z
U0000011,user,Kavya Dua,kavya.dua@som.com,+91-79868-74297,68,Nashik,Accountant,78.4,2024-10-19T22:16:49Z
U0000012,user,Kalpit Bhasin,kalpit.bhasin@narayan.com,+91-90109-91412,33,Bengaluru,Engineer,88.6,2024-08-15T22:16:49Z
U0000013,user,Bhavna Muni,bhavna.muni@chawla-tripathi.com,+91-84782-92603,43,Vasai-Virar,Graphic Designer,1.7,2023-10-21T22:16:49Z
U0000014,user,Udarsh Chokshi,udarsh.chokshi@pillai-contractor.com,+91-79224-67367,42,Rajkot,Engineer,3.1,2025-04-02T22:16:49Z
U0000015,user,Amara Balakrishnan,amara.balakrishnan@mahajan.com,+91-76367-25023,29,Hyderabad,Professor,93.2,2024-02-25T22:16:49Z
U0000016,user,Nandini Boase,nandini.boase@balasubramanian.net,+91-90998-67163,35,Faridabad,Marketing Manager,68.0,2024-10-05T22:16:49Z
U0000017,user,Devika Nair,devika.nair@chad.com,+91-89320-48141,26,Srinagar,Government Officer,51.0,2024-07-30T22:16:49Z
U0000018,user,Vedika Sathe,vedika.sathe@mahajan-kale.net,+91-91408-20202,51,Pimpri-Chinchwad,Project Manager,97.3,2025-01-24T22:16:49Z
U0000019,user,Indrajit Mander,indrajit.mander@sur.com,+91-96769-25509,60,Bhopal,Real Estate Agent,81.1,2025-05-16T22:16:49Z
U0000020,user,Abhimanyu Jayaraman,abhimanyu.jayaraman@kakar-devan.com,+91-86929-63143,56,Delhi,Business Owner,72.8,2024-11-23T22:16:49Z
U0000021,user,Abhimanyu Tank,abhimanyu.tank@sani.biz,+91-99543-90576,56,Bengaluru,Bank Manager,50.3,2025-05-12T22:16:49Z
U0000022,user,Ekbal Ranganathan,ekbal.ranganathan@basak.info,+91-98729-81267,44,Pimpri-Chinchwad,Police Officer,0.5,2025-09-02T22:16:49Z
U0000023,user,Omisha Mann,omisha.mann@ravel.com,+91-83045-28096,60,Pune,Business Owner,23.0,2023-09-24T22:16:49Z
U0000024,user,Janaki Chakrabarti,janaki.chakrabarti@cherian-kohli.biz,+91-89577-17531,67,Nagpur,Driver,49.4,2025-08-30T22:16:49Z
U0000025,user,Harinakshi Kant,harinakshi.kant@ganguly-bose.net,+91-88009-47289,64,Nashik,Financial Analyst,96.3,2024-11-30T22:16:49Z
U0000026,user,Ikshita Panchal,ikshita.panchal@divan.com,+91-82356-83815,48,Visakhapatnam,Professor,34.0,2024-05-28T22:16:49Z
U0000027,user,Peter Tak,peter.tak@sen-naidu.com,+91-76644-42728,57,Nashik,Marketing Manager,77.9,2025-05-10T22:16:49Z
U0000028,user,Upasna Sathe,upasna.sathe@mitter.com,+91-95424-32911,47,Pune,Consultant,51.8,2024-10-21T22:16:49Z
U0000029,user,Baljiwan Bhandari,baljiwan.bhandari@mangat-bose.com,+91-88723-27188,54,Bhopal,Sales Representative,72.1,2025-01-11T22:16:49Z
U0000030,user,Shivani Guha,shivani.guha@soni-thaker.com,+91-96542-43779,40,Delhi,Real Estate Agent,12.1,2023-10-15T22:16:49Z
U0000031,user,Frado Thaman,frado.thaman@gera.info,+91-97990-13027,26,Visakhapatnam,Engineer,25.2,2023-09-23T22:16:49Z
U0000032,user,Lila Rege,lila.rege@ben-natt.com,+91-88480-67013,51,Allahabad,Web Developer,90.9,2024-05-04T22:16:49Z
U0000033,user,Mason Nath,mason.nath@dhaliwal.com,+91-83835-91962,33,Raipur,Professor,80.0,2023-12-22T22:16:49Z
U0000034,user,Kai Chad,kai.chad@puri-narasimhan.com,+91-81203-65082,37,Jodhpur,Financial Analyst,46.4,2025-08-08T22:16:49Z
U0000035,user,Pallavi Trivedi,pallavi.trivedi@badami-patil.com,+91-76526-70402,65,Kolkata,Government Officer,66.6,2025-02-08T22:16:49Z
U0000036,user,Rehaan Kara,rehaan.kara@dubey.com,+91-89040-72294,62,Lucknow,Financial Analyst,77.1,2024-12-29T22:16:49Z
U0000037,user,Gayathri Deep,gayathri.deep@puri.com,+91-78214-15175,49,Varanasi,Bank Manager,29.5,2023-09-27T22:16:49Z
U0000038,user,Raksha Bassi,raksha.bassi@patla-khanna.info,+91-72075-96283,52,Meerut,Police Officer,52.4,2024-04-18T22:16:49Z
U0000039,user,Vivaan Walla,vivaan.walla@more.com,+91-76839-95950,49,Chennai,Construction Manager,80.1,2025-07-09T22:16:49Z
U0000040,user,Triya Manda,triya.manda@thakkar-wable.biz,+91-87421-60506,30,Indore,Government Officer,65.7,2024-02-04T22:16:49Z
U0000041,user,Charles Srivastava,charles.srivastava@chauhan-varty.com,+91-70006-14543,36,Delhi,Government Officer,13.5,2024-11-04T22:16:49Z
